Movie Title,Director,Main Cast
Petite Maman,Céline Sciamma,"Joséphine Sanz, Gabrielle Sanz, Nina Meurisse, Stéphane Varupenne, Margot Abascal, Florès Cardo, Josée Schuller, Guylène Péan, Christel Baras, Lola Diane"
The Discreet Charm of the Bourgeoisie [re-release],Luis Buñuel,"Fernando Rey, Paul Frankeur, Delphine Seyrig, Bulle Ogier, Stéphane Audran, Jean-Pierre Cassel, Julien Bertheau, Milena Vukotic, Maria Gabriella Maione, Claude Piéplu, Muni, Pierre Maguelon, François Maistre, Michel Piccoli, Ellen Bahl, Christian Baltauss, Olivier Bauchet, Robert Benoît, Anne-Marie Deschodt, Jean-Michel Dhermay, Georges Douking, Jean Degrave, Sébastien Floche, François Guilloteau, Claude Jaeger, Jean-Claude Jarry, Pierre Lary, Robert Le Béal, Alix Mahieux, Bernard Musson, Maxence Mailfort, Robert Party, Jean Revel, Jacques Rispal, Amparo Soler Leal, Diane Vernon, Madeleine Bouchez, Roger Caccia"
Lady Bird,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet, Beanie Feldstein, Lois Smith, Stephen McKinley Henderson, Odeya Rush, Jordan Rodrigues, Marielle Scott, John Karna, Jake McDorman, Bayne Gibby, Laura Marano, Marietta DePrima, Daniel Zovatto, Kristen Cloke, Andy Buckley, Paul Keller, Kathryn Newton, Myra Turley, Bob Stephenson, Abhimanyu Katyal, Chris Witaske, Ben Konigsberg, Gurpreet Gill, Richard Jin, Joan Patricia O'Neil, Robert Figueroa, Carla Valentine, Roman Arabia, Monique Edwards, Matthew Maher, Anita Kalathara, Debra Miller, Georgia Leva, Derek Butler, London Thor, Shaelan O'Connor, Christina Offley, Sabrina Schloss, Connor Mickiewicz, Erik Daniells, Cynthia Cales, Giselle Grams, Ithamar Enriquez, Luisa Lee, Danielle Macdonald, Adam Brock, Bonnie Jean Shelton, Rebecca Light, Adriana Becerril, Joseph Bell, Beau Bielski, Stephen Dill, Sheila Ellis, Nick Fenske, Sedona Feretto, Keenan Johnston, Rebecca Knight, Suzanne LaChasse, Elester Latham, Emily Merlin, Maxx Morando, Jessica Nunez-Wood, Brian Sampson, Janet Song, Nicole Torres, Brian VanGeem, Carolyn Wilson, Tomomi Yoshida, Heidi Griffiths, Allison Jones, Jordan Thaler, Geoffrey Brown, Castano Camilo, Chase Cushing-Murray, Courtney Fain, Shelby Gogreve, Kristen Granados, Lindsey Jacobs, Lesli Lytle, Erin McKenna, Gerald Palone, Perry Pascual, Maite Perez-Nievas, Alex Potter, Andre Rivera, Nic Weethee, Zebah Pinkham, Emily Buntyn, Adam DeLisi, Debbie DeLisi, Rebecca Feldman, Dann Fink, Angie Glover, Ben Harris, Toni Staniewicz, Stacey McCain, Sydney Medlin"
The Magnificent Ambersons,"Orson Welles, Fred Fleck, Robert Wise","Joseph Cotten, Dolores Costello, Anne Baxter, Tim Holt, Agnes Moorehead, Ray Collins, Erskine Sanford, Richard Bennett, Orson Welles, Edwin August, Georgia Backus, Harry A. Bailey, Olive Ball, Jack Baxley, William Blees, Lyle Clement, Bobby Cooper, Don Dillaway, Heenan Elliott, John Elliott, William Elmer, James Fawcett, Mel Ford, Nancy Gates, Nina Guilbert, Maynard Holmes, Edward Howard, Harry Humphrey, Elmer Jerome, J. Louis Johnson, Lew Kelly, Del Lawrence, Bert LeBaron, John McGuire, Philip Morris, Anne O'Neal, Gil Perkins, Charles R. Phipps, Hilda Plowright, Drew Roddy, Henry Roquemore, Jack Santoro, Gus Schilling, Kathryn Sheldon, Sada Simmons, Dorothy Vaughan, James Westerfield, Joe Whitehead, Rufus Le Maire, Robert Palmer, Arthur Willy"
Reversal of Fortune,Barbet Schroeder,"Glenn Close, Jeremy Irons, Ron Silver, Annabella Sciorra, Uta Hagen, Fisher Stevens, Jack Gilpin, Christine Baranski, Stephen Mailer, Christine Dunford, Felicity Huffman, Mano Singh, Johann Carlo, Keith Reddin, Alan Pottinger, Mitchell Whitfield, Tom Wright, Gordon Joseph Weiss, Michael Lord, LisaGay Hamilton, Bill Camp, JD Cullum, Jad Mager, Sarah Fearon, Kristi Hundt, Kara Emerson, Michael Wikes, Thomas Dorff, Bruno Eyron, Bernt Kuhlmann, Redman Maxfield, Frederick Neumann, Conrad McLaren, Edwin McDonough, Brian Delate, Dess Philpot, Steven Black, Kender Jones, Haes Hill, Dan Rea, Leo Leyden, Malachy McCourt, Jessika Cardinahl, Ericka Klein, Joko Zohrer, Heather Rose Dominic, Julie Hagerty, Mary Ann Hannon, Ronald Rand, Larry Sherman, Constance Shulman, Frank Stellato, Howard Feuer, Dennis Osborne"
Rio Bravo,Howard Hawks,"John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson, Walter Brennan, Ward Bond, John Russell, Pedro Gonzalez Gonzalez, Estelita Rodriguez, Claude Akins, Malcolm Atterbury, Harry Carey Jr., Sheb Wooley, Fred Aldrich, Frank Balderrama, Walter Barnes, George Bell, Audrey Betz, Nesdon Booth, Nick Borgani, George Bruggeman, Buck Bucko, Yakima Canutt, Albert Cavens, Noble 'Kid' Chissell, Bud Cokes, Cecil Combs, Jose Cuchillo, Robert Donner, Fred Graham, Joe Gray, Myron Healey, Riley Hill, Eugene Iglesias, Arthur Kendall, Richard LaMarr, Tex Lambert, James B. Leong, Cactus Mack, David O. McCall, William McCarter, Mathew McCue, Frank Mills, Gordon Mitchell, Kansas Moehring, Tom Monroe, Daniel Nunez, Jack Perry, Joe Phillips, Anthony Redondo, Bob Reeves, Waclaw Rekwart, Chuck Roberson, Tony Roux, Bing Russell, Danny Sands, Joseph Shimada, Dean Smith, Milan Smith, Bob Steele, Bob Terhune, Sailor Vincent, Ted White, Bob Whitney, Chalky Williams, Jack N. Young"
David Byrne’s American Utopia,Spike Lee,"David Byrne, Jacqueline Acevedo, Gustavo Di Dalva, Daniel Freedman, Chris Giarmo, Tim Keiper, Tendayi Kuumba, Karl Mansfield, Mauro Refosco, Stephane San Juan, Angie Swan, Bobby Wooten III, Joseph Fusco"
Masculine Feminine,Jean-Luc Godard,"Jean-Pierre Léaud, Chantal Goya, Marlène Jobert, Michel Debord, Catherine-Isabelle Duport, Evabritt Strandberg, Birger Malmsten, Yves Afonso, Henri Attal, Mickey Baker, Brigitte Bardot, Antoine Bourseiller, Chantal Darget, Françoise Hardy, Med Hondo, Elsa Leroy, Dominique Zardi"
Shoplifters,Hirokazu Koreeda,"Lily Franky, Sakura Ando, Kirin Kiki, Mayu Matsuoka, Jyo Kairi, Miyu Sasaki, Sôsuke Ikematsu, Yûki Yamada, Moemi Katayama, Daisuke Kuroda, Kazuaki Shimizu, Izumi Matsuoka, Katsuya Maiguma, Hajime Inoue, Aju Makita, Akira Emoto, Haruna Hori, Wako Andô, Momoko Miyauchi, Mami Hashimoto, Shinichirô Matsuura, Madoka Tomosaki, Nobu Morimoto, Tomomitsu Adachi, Shinsuke Kasai, Mana Mikami, Hideki Nakano, You Hioki, Kazan Watanabe, Takeo Gozu, Katsunobu Ito, Satomi Hirayama, Yoshimi Tachi, Naoto Ogata, Yôko Moriguchi, Kengo Kôra, Chizuru Ikewaki, Nana Mizoguchi, Toshie Tabata"
Shoah: Four Sisters,Claude Lanzmann,"Claude Lanzmann, Paula Biren, Ruth Elias, Ada Lichtman, Hanna Marton"
The 39 Steps,Alfred Hitchcock,"Robert Donat, Madeleine Carroll, Lucie Mannheim, Godfrey Tearle, Peggy Ashcroft, John Laurie, Helen Haye, Frank Cellier, Wylie Watson, Gus McNaughton, Jerry Verno, Peggy Simpson, Ivor Barnard, Charles Bennett, Noel Birkin, Ex-Det. Sergt. Bishop, Wallace Bosco, Matthew Boulton, Pat Hagate, Alfred Hitchcock, Carleton Hobbs, Vida Hope, Elizabeth Inglis, James Knight, Miles Malleson, Quinton McPherson, Frederick Piper, John Rae, Charles Hubert Renard, Hilda Trevelyan, John Turnbull, S.J. Warmington"
Duck Soup,Leo McCarey,"The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx, Margaret Dumont, Raquel Torres, Louis Calhern, Edmund Breese, Leonid Kinskey, Charles Middleton, Edgar Kennedy, Wade Boteler, Sidney Bracey, E.H. Calvert, Davison Clark, Louise Closser Hale, Joseph Crehan, Carrie Daumery, Mario Dominici, Maude Turner Gordon, Verna Hillie, Edward LeSaint, George MacQuarrie, Edwin Maxwell, Eric Mayne, Edmund Mortimer, Dennis O'Keefe, Leo Sulky, Frederick Sullivan, Ben Taggart, Dale Van Sickel, Charles West, Florence Wix, William Worthington"
Toni Erdmann,Maren Ade,"Sandra Hüller, Peter Simonischek, Michael Wittenborn, Thomas Loibl, Trystan Pütter, Ingrid Bisu, Hadewych Minis, Lucy Russell, Victoria Cocias, Alexandru Papadopol, Victoria Malektorovych, Ingrid Burkhard, Jürg Löw, Ruth Reinecke, Nicolas Wackerbarth, Mihai Manolache, Radu Bânzaru, Niels Bormann, Radu Dumitrache, Klara Höfels, Hartmut Stanke, Hans Löw, Julischka Eichel, Lennart Moho, Irene Rindje, Sava Lolov, John Keogh, Cezara Dafinescu, Ozana Oancea, Manuela Ciucur, Ursula Renneke, Karlheinz Ade, Mugur Sabo, Manu Sabo, Claudiu Imparatu, Bryan Jardine, Dana Marineci, Catalin Baicus, Marius Georgian, Miriam Rizea, Luana Stoica, Valentin Popescu, Ioan Brancu, Emil Constantinescu, Madalina Ciotea, Daniel Filipescu, Raluca David, Mihai Razus, Adrian Bucur, Andrei Mateiu, Florin Visenescu, Serban Cismarescu, Marcus Weber, Ebba, 6d und 6b der Heinrich Heine Gesamtschule Klasse 8b, Vlad Ivanov, Anna Maria Bergold, Tadeusz Januszewski, Cosmin Padureanu, Ingo Wimmer, Rita Winkelmann, Viorica Capdefier, Nina Haun, Amanda Tabak, Mariana Grama, Matus Krajnak, Alexandra Marinescu, Jen Mostyn, Alrun Seifert, Ionut Sirbu, Daniela Soare, Liliana Toma"
Badlands,Terrence Malick,"Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri, Alan Vint, Gary Littlejohn, John Carter, Bryan Montgomery, Gail Threlkeld, Charles Fitzpatrick, Howard Ragsdale, John Womack Jr., Dona Baldwin, Ben Bravo, Emilio Estevez, Li Po Lung, Terrence Malick, Charlie Sheen, Dianne Crittenden"
McCabe & Mrs. Miller,Robert Altman,"Warren Beatty, Julie Christie, Rene Auberjonois, William Devane, John Schuck, Corey Fischer, Bert Remsen, Shelley Duvall, Keith Carradine, Michael Murphy, Antony Holland, Hugh Millais, Manfred Schulz, Jace Van Der Veen, Jackie Crossland, Elizabeth Murphy, Carey Lee McKenzie, Thomas Hill, Linda Sorensen, Elizabeth Knight, Janet Wright, Maysie Hoy, Linda Kupecek, Jeremy Newson, Wayne Robson, Jack Riley, Robert Fortier, Wayne Grace, Wes Taylor, Anne Cameron, Graeme Campbell, J.S. Johnson, Joe Clarke, Harry Frazier, Edwin Collier, Terence Kelly, Brantley Kearns, Don Francks, Rodney Gage, Lili Francks, Joan Tewkesbury, Harvey Lowe, Eric Schneider, Milos Zatovic, Claudine Melgrave, Derek Keurvorst, Alex Diakun, Gord Robertson, Jon Bankson, William Chu, Alan Davis, Jimmy Eng, Barry Fowlie, Robert W. Hamelin, Terence Hill, Thomas Ho, Ed Hong-Louie, Louanne Hong-Louie, Paul Lam, Po Lam Lau, Anne C.W. Luk, Bill Yui Seto, Barry Tam, John Tuck, Dale Wilson, Graeme Clifford"
Inside Llewyn Davis,"Ethan Coen, Joel Coen","Oscar Isaac, Carey Mulligan, Justin Timberlake, Ethan Phillips, Robin Bartlett, Max Casella, Jerry Grayson, Jeanine Serralles, Adam Driver, Stark Sands, John Goodman, Garrett Hedlund, Alex Karpovsky, Helen Hong, Bradley Mott, Michael Rosner, Bonnie Rose, Jack O'Connell, Ricardo Cordero, Sylvia Kauders, Ian Jarvis, Diane J. Findlay, Ian Blackman, Steve Routman, Susan Blommaert, Amelia McClain, James Colby, Charlotte Booker, Mike Houston, Sam Haft, F. Murray Abraham, Jason Shelton, Frank Ridley, John Ahlin, Jake Ryan, Declan Bennett, Erik Hayden, Daniel Everidge, Jeff Takacs, Nancy Blake, Stephen Payne, Roberto Lopez, Ben Pike, Genevieve Adams, Paul Rocco Amato, Ricardo Bailey, Logan Bennett, David Boston, Jonny Brennan, Kristoffe Brodeur, Caitlin Brodnick, Joel Brody, Laura Butler, Stan Carp, Jason Cicardo, Jason Daunno, Nick Diamantis, Jared Evan, Melanie Hearn, Danny Hoch, Rosemary Howard, George Katt, Samantha Kelly, Phillip X Levine, Lerubi Lopez, Ellery McKinney, Antonio E. Moreno, Marcus Mumford, Etienne Navarre, Tara Steinberg, Matt Strickland, Bill Weeden, Steven Weisz, Brittany White, Ellen Chenoweth, Kati Batchelder, Adam DeLisi, Debbie DeLisi, Jason Harris, Sondra James, Amelia Rasche McCarthy, Katrina Wandel George"
The Best Years of Our Lives,William Wyler,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright, Virginia Mayo, Cathy O'Donnell, Hoagy Carmichael, Harold Russell, Gladys George, Roman Bohnen, Ray Collins, Minna Gombell, Walter Baldwin, Steve Cochran, Dorothy Adams, Don Beddoe, Marlene Aames, Charles Halton, Ray Teal, Howland Chamberlain, Dean White, Erskine Sanford, Michael Hall, Victor Cutler, Jimmy Ames, Carol Andrews, Mary Arden, Gertrude Astor, Edward Biby, Harry Cheshire, Sidney Clute, Tom Coleman, Joyce Compton, James Conaty, Heinie Conklin, Bert Conway, Clancy Cooper, Mady Correll, Roy Darmour, Hal K. Dawson, Lawrence Dobkin, Lester Dorr, Claire Du Brey, Tom Dugan, Dick Earle, Edward Earle, Blake Edwards, Billy Engle, Ben Erway, Doris June Fesetta, Pat Flaherty, Tennessee Ernie Ford, Louise Franklin, Harry Gillette, Dick Gordon, Herschel Graham, Marion Gray, Earle Hodgins, Stuart Holmes, Ray Hyke, John Ince, Teddy Infuhr, Jackie Jackson, Georgia Kane, Robert Karnes, Kenner G. Kemp, Donald Kerr, Gene Krupa, Ethelreda Leopold, Alyn Lockwood, Wilbur Mack, Susan Mann, Thomas Martin, Michael Mauree, Doreen McCann, Peggy McIntyre, Russell Meeker, Chef Milani, Harold Miller, Ernesto Molinari, William Newell, Georgie Nokes, William H. O'Brien, Joe Palma, Leo Penn, Caleb Peterson, Norman Phillips Jr., Jack Rice, Suzanne Ridgway, Mickey Roth, Loretta Russell, Ruth Sanderson, Ralph Sanford, Noreen Sayles, Stephen Soldi, Bert Stevens, John Tyrrell, Amelita Ward, Jan Wiley, Marek Windheim"
Band of Outsiders,Jean-Luc Godard,"Anna Karina, Danièle Girard, Louisa Colpeyn, Chantal Darget, Sami Frey, Claude Brasseur, Georges Staquet, Ernest Menzer, Jean-Claude Rémoleux, Michel Delahaye, Louis Jojot, Claude Makovski, Michèle Seghers, Jean-Luc Godard"
Stagecoach,John Ford,"Claire Trevor, John Wayne, Andy Devine, John Carradine, Thomas Mitchell, Louise Platt, George Bancroft, Donald Meek, Berton Churchill, Tim Holt, Tom Tyler, Dorothy Appleby, Frank Baker, Chief John Big Tree, Ted Billings, Wiggie Blowne, Danny Borzage, Ed Brady, Fritzi Brunette, Yakima Canutt, Nora Cecil, Steve Clemente, Bill Cody, Jack Curtis, Marga Ann Deighton, Patricia Doyle, Tex Driscoll, Johnny Eckert, Franklyn Farnum, Francis Ford, Brenda Fowler, Olin Francis, Helen Gibson, Don Hawks, Robert Homans, William Hopper, George Huggins, Si Jenks, Cornelius Keefe, Florence Lake, Al Lee, Duke R. Lee, Theodore Lorch, Chris-Pin Martin, Jim Mason, Louis Mason, Merrill McCormick, J.P. McGowan, Walter McGrail, Paul McVey, Jack Mohr, Kent Odell, Artie Ortego, Vester Pegg, Jack Pennick, Chris Phillips, Joe Rickson, Buddy Roosevelt, Elvira Ríos, Mickey Simpson, Margaret Smith, Chuck Stubbs, Harry Tenbrook, Leonard Trainor, Dorothy Vernon, Mary Kathleen Walker, Blackjack Ward, Bryant Washburn, Whitehorse, Hank Worden, Lee Bradley, Harry Goulding"
Days of Being Wild (re-release),Kar-Wai Wong,"Leslie Cheung, Maggie Cheung, Andy Lau, Carina Lau, Rebecca Pan, Jacky Cheung, Tony Leung Chiu-wai, Danilo Antunes, Mei-Mei Hung, Ling-Ling Hung, Tita Muñoz, Alicia Alonzo, Elena Lim So, Maritoni Fernandez, Angela Ponos, Nonong Talbo"
Sherpa,Jennifer Peedom,"Russell Brice, Tim Medvetz, Pasang Tenzing Sherpa, Phurba Tashi Sherpa, Edmund Hillary, John Hunt, Tenzing Norgay"
There Will Be Blood,Paul Thomas Anderson,"Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer, Joseph Mussey, Barry Del Sherman, Harrison Taylor, Stockton Taylor, Paul F. Tompkins, Dillon Freasier, Kevin Breznahan, Jim Meskimen, Erica Sullivan, Randall Carver, Coco Leigh, Paul Dano, Ciarán Hinds, Sydney McCallister, David Willis, Christine Olejniczak, Kellie Hill, James Downey, Dan Swallow, Robert Arber, Bob Bell, David Williams, Joy Rawls, Louise Gregg, Amber Roberts, John W. Watts, Robert Caroline, Barry Bruce, Irene G. Hunter, Hope Elizabeth Reeves, John Chitwood, Kevin J. O'Connor, David Warshofsky, Charles Thomas Doyle, Colton Woodward, John Burton, Hans Howes, Robert Barge, Ronald Krut, Huey Rhudy, Steven Barr, Robert Hills, Colleen Foy, Russell Harvard, Bob Bock, Vince Froio, Phil Shelly, Mary Elizabeth Barrett, Brad Carr, Kathryn A Davis, Spencer Kayden, Arnold Montey, Rhonda Reeves, Guy Richardson, Beau Smith, Arne Starr, Cassandra Kulukundis, Sally Allen, Kristan Berona, Toni Cobb Brock, Barbara Harris, Katherine Pickering, John Barba, Annie Hedgpeth"
Tristana (re-release),Luis Buñuel,"Catherine Deneuve, Fernando Rey, Franco Nero, Lola Gaos, Antonio Casas, Jesús Fernández, Vicente Soler, José Calvo, Fernando Cebrián, Antonio Ferrandis, José María Caffarel, Cándida Losada, Joaquín Pamplona, Mary Paz Pondal, Juanjo Menéndez, José Blanch, Alfredo Santacruz, Sergio Mendizábal, Luis Aller, Luis Rico, Saturno Cerra, Jesús Combarro, Leonardo Scavino, Vicente Roca, Ximénez Carillo, Adriano Domínguez, José Riesgo, Rosa Luisa Goróstegui, Antonio Cintado, Pilar Vela, Lorenzo Rodríguez, Aldo Sambrell"
The Last Picture Show,Peter Bogdanovich,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson, Cloris Leachman, Ellen Burstyn, Eileen Brennan, Clu Gulager, Sam Bottoms, Sharon Ullrick, Randy Quaid, Joe Heathcock, Bill Thurman, Barc Doyle, Jessie Lee Fulton, Gary Brockette, Helena Humann, Loyd Catlett, Robert Glenn, John Hillerman, Janice E. O'Malley, Floyd Mahaney, Kimberly Hyde, Noble Willingham, Marjorie Jay, Joye Hash, Pamela Keller, Gordon Hurst, Mike Hosford, Faye Jordan, Charles Seybert, Grover Lewis, Rebecca Ulrick, Merrill Shepherd, Buddy Wood, Kenny Wood, Leon Brown, Bobby McGriff, Jack Mueller, Robert Arnold, Frank Marshall, Tom Martin, Otis Elmore, Charles Salmon, George Gaulden, Will Morris Hannis, The Leon Miller Band, Peter Bogdanovich, Stuart Spates, Ross Brown"
Hard to Be a God,Aleksey German,"Leonid Yarmolnik, Aleksandr Chutko, Yuriy Tsurilo, Evgeniy Gerchakov, Valentin Golubenko, Leonid Timtsunik, Natalya Moteva, Nikita Strukov, Gali Abaydulov, Yuriy Ashikhmin, Remigijus Bilinskas, Valeriy Boltyshev, Vasiliy Domrachyov, Galina Egorova, Lev Eliseev, Valeriy Guryanov, Ramis Ibragimov, Daniil Isakov, Aleksandr Kabanov, Zura Kipshidze, Anatoliy Kondyubov, Juris Laucinsh, Anvar Libabov, Mikhail Luchko, Natalya Lvova, Algimantas Maceina, Pyotr Merkurev, Andrey Mokeyev, Yuriy Nifontov, Aleksandr Orlovskiy, Vytautas Paukste, Georgiy Pitskhelauri, Aleksandr Seleznyov, Anatoliy Shvederskiy, Mikhail Silantev, Evgeniy Sirotin, Sergey Stupnikov, Dmitriy Vladimirov, Igor Volkov, Konstantin Vorobyov, Oleg Botin, Yuriy Dumchev, Mikhail Guro, Vladimir Kosmidaylo, Evgeniy Levitskiy, Marina Rokina, Aleksandr Ronis, Konstantin Smirnov, Vadim Smirnov, Evgeniy Vazhenin, Valeriy Velichko, Tatyana Komarova"
Do the Right Thing,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Robin Harris, Joie Lee, Miguel Sandoval, Rick Aiello, John Savage, Samuel L. Jackson, Rosie Perez, Roger Guenveur Smith, Steve White, Martin Lawrence, Leonard L. Thomas, Christa Rivers, Frank Vincent, Luis Antonio Ramos, Richard Habersham, Gwen McGee, Steve Park, Ginny Yang, Sherwin Park, Shawn Elliott, Diva Osorio, Chris Delaney, Angel Ramirez Jr., Sixto Ramos, Nelson Vasquez, Travell Lee Toulson, Joel Nagle, David E. Weinberg, Yattee Brown, Mecca Brunson, Shawn Stainback, Soquana Wallace, Erik Dellums, Leland Hardy, Garry Pastore, Eric Payne, John Michael Quinn, Michael Ralph, Nicholas Turturro, Robi Reed, Sarah Hyde Hamlet, Andrea Reed, Tracy Vilar"
Sita Sings the Blues,Nina Paley,"Annette Hanshaw, Aseem Chhabra, Bhavana Nagulapally, Manish Acharya, Reena Shah, Sanjiv Jhaveri, Pooja Kumar, Debargo Sanyal, Alaudin Ullah, Nitya Vidyasagar, Nina Paley, Deepti Gupta"
The Decline of Western Civilization,Penelope Spheeris,"Eugene Tatu, Alice Bag Band, Black Flag, Catholic Discipline, Circle Jerks, Fear, The Germs, X, Wayne Mayotte, Brendan Mullen, Greg Ginn, Chuck Dukowski, Robo, Ron Reyes, Nicole Panter, Darby Crash, Michelle Baer Ghaffari, Pat Smear, Lorna Doom, Don Bolles, Bob Biggs, Philomena Winstanley, Claude Bessy, Chris D., Steve Samiof, Robert 'El Vez' López, Phranc, Craig Lee, Rick Brodey, John Doe, Exene Cervenka, Billy Zoom, Top Jimmy, Kit, Rick Schmidlin, Chuck, D.J. Bonebrake, Gary Hirstius, Milt Wilson, Dutch Michaels, Greg Hetson, Lucky Lehrer, Roger Rogerson, Keith Morris, Jennipher, John, Michael, Malissa Hutton, Lorna, Pat, Dinah Cancer, Carla, Kenny DaSilva, Alice Bag, Terry Graham, Rob Ritter, Mac Neely, Philo Cramer, Derf Scratch, Spit Stix, Lee Ving, Penelope Spheeris, Jennifer Finch, Frank Gargani, Jenny Lens"
Yojimbo,Akira Kurosawa,"Toshirô Mifune, Tatsuya Nakadai, Yôko Tsukasa, Isuzu Yamada, Daisuke Katô, Seizaburô Kawazu, Takashi Shimura, Hiroshi Tachikawa, Yôsuke Natsuki, Eijirô Tôno, Kamatari Fujiwara, Ikio Sawamura, Atsushi Watanabe, Susumu Fujita, Kyû Sazanka, Kô Nishimura, Takeshi Katô, Ichirô Nakatani, Sachio Sakai, Akira Tani, Tsunagorô Rashômon, Yoshio Tsuchiya, Gen Shimizu, Yutaka Sada, Shin Ôtomo, Shôichi Hirose, Hideyo Amamoto, Shôji Ôki, Fuminori Ôhashi, Hiroshi Yoseyama, Senkichi Ômura, Noriko Honma, Ryusuke Nishio, Naoya Kusakawa, Nadao Kirino, Jun Ôtomo, Shinpei Takagi, Akio Kusama, Yasuzô Ogawa, Hiroshi Takagi, Jun'ichirô Mukai, Fumiyoshi Kamagaya, Ichirô Chiba, Haruya Sakamoto, Rinsaku Ogata, Fumio Kogushi, Yoko Terui, Hiromi Mineoka, Michiko Kawa, Jerry Fujio, Haruo Nakajima"
Top Hat,Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton, Erik Rhodes, Eric Blore, Helen Broderick, Robert Adair, Lucille Ball, Tito Blasco, William A. Boardway, Tom Brandon, Roy Brent, Tex Brodus, Phyllis Coghlan, Gino Corrado, Tom Costello, Lorinne Crawford, Oliver Cross, Jay Eaton, Jack Ellison, George Ford, Jack Geiger, Charlie Hall, Peter Hobbes, Ben Holmes, John Impolito, Lora Lane, Frank Mills, Henry Mowbray, Leonard Mudie, George Nardelli, Edgar Norton, Dennis O'Keefe, Paul Power, Tom Ricketts, Rita Rozelle, Scott Seaton, Genaro Spagnoli, Mary Stewart, Anya Taranda, Nick Thompson"
Brother's Keeper,"Joe Berlinger, Bruce Sinofsky","Delbert Ward, Roscoe Ward, Lyman Ward, Walt Geisler, Ken Elmer, John Teeple, Dave Goff, Joseph F. Loszynski, Harry Thurston, Ralph A. Cognetti, Maynard A. Cosnett, John W. Graham, Robert J. Killough, Donald F. Cerio, Connie Chung"
Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri, Jimmy Lee Savage, Hasinatu Camara, Jim Faircloth, Stanley Michelson, John A. Mason, Louise Reid, Roger Doctor, Alditz McKenzie, Chrispan Rigby, Maxwell Parris, Hossana Ghanaba"
Crumb,Terry Zwigoff,"Robert Crumb, Aline Kominsky-Crumb, Charles Crumb, Maxon Crumb, Robert Hughes, Martin Muller, Don Donahue, Dana Morgan, Trina Robbins, Spain Rodriguez, Bill Griffith, Deirdre English, Peggy Orenstein, Beatrice Crumb, Kathy Goodell, Dian Hanson, Sophie Crumb, Jesse Crumb, Joseph Frantz"
No Bears,Jafar Panahi,"Jafar Panahi, Vahid Mobasseri, Bakhtiyar Panjeei, Mina Kavani, Narges Delaram, Reza Heydari, Javad Siyahi, Yousef Soleymani, Amir Davari, Darya Alei, Rahim Abbasi, Sinan Yusufoglu, Ehsan Ahmad Khanpour, Iman Bazyar, Naser Hashemi, Bülent Keser, Aliye Tuzun, Mina Khosrovani"
8½,,
